size0,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50,size51,size52,size53,size54,size55,size56,size57,size58,size59,size60,size61,size62,size63,size64,size65,size66,size67,size68,size69,size70,size71,size72,size73,size74,size75,size76,size77,size78,size79,size80,size81,size82,size83,size84,size85,size86,size87,size88,size89,size90,size91,size92,size93,size94,size95,size96,size97,size98,size99,size100,size101,size102,size103,size104,size105,size106,size107,size108,size109,size110,size111,size112,size113,size114,size115,size116,size117,size118,size119,size120,size121,size122,size123,size124,size125,size126,size127,size128,size129,size130,size131,size132,size133,size134,size135,size136,size137,size138,size139,size140,size141,size142
52344,57464,51576,47824,52512,45528,46992,50304,56616,55696,57584,113408,50400,46184,56528,58432,73704,74120,81784,56584,52600,42424,43976,103128,53472,58784,60744,56232,61216,67992,69416,62336,62600,55656,59248,113768,62928,53872,57088,56744,55192,47720,51440,46488,46864,45696,54064,104312,50832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70168,61120,60304,43136,47216,50376,58704,47032,52632,53560,60368,112592,54328,52872,65952,65656,76088,67984,69808,55320,55808,51824,60984,103288,74184,76744,85704,73576,71584,65200,68608,65968,66952,63376,68232,111272,70120,65680,65600,59328,57784,51864,60592,59888,70008,72488,79832,107896,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69080,73712,74400,65496,61872,59320,63376,60128,56408,56024,59528,114616,56000,58096,64144,69000,76368,70360,75848,64816,62872,60200,65480,109624,60288,68024,73000,66208,68448,71792,78096,59616,59216,56368,61424,111592,61096,56136,57872,57224,60704,54880,55000,48064,52704,47536,57624,100736,64480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55360,48896,46040,40376,43616,41208,44896,46096,49152,50424,55960,100312,65544,57944,64536,60960,63592,62448,64824,62120,67768,62768,60272,85528,58136,55184,60072,58384,65568,57856,71840,76456,90328,63912,60848,98152,52680,46832,46616,42304,39496,39656,47504,43072,47840,51512,56280,97888,62688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70160,58624,56400,51416,49840,41040,40072,36536,42368,41368,41560,89688,44440,49256,56936,59512,62672,54088,56784,57600,70344,60088,72688,101216,75072,57448,62016,53392,51632,53408,58008,59592,58056,52256,61072,110112,67544,60872,55768,52168,48720,42304,41312,37584,40120,41696,44392,88432,50256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209536,172328,159280,174136,195096,182656,179736,202120,196312,200872,181568,530952,171392,204480,206424,166888,159456,189048,154392,144880,143200,119848,131352,546016,117328,164216,191360,228104,196200,230336,156592,176216,189616,212536,186784,547312,173744,190728,187504,194496,197912,199880,187576,202120,189720,208840,190768,547104,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244544,211464,206136,202056,181712,314880,193904,196736,198480,209736,196232,554096,181296,196776,171928,194416,190136,198056,186200,193744,197840,205072,185832,544704,176336,182880,177936,194008,185600,221104,197808,191656,184768,195312,198600,542168,166832,187584,176904,197608,184056,198568,194096,203408,194520,194024,204176,535488,176344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180904,166400,154056,165016,155360,178168,160480,167400,161200,162488,162792,411088,146128,166504,160576,166056,164488,170728,164688,167536,162952,164360,160408,416400,148440,167456,164080,170960,162568,184976,166080,175744,164784,172080,159000,416936,152000,166840,163960,172024,159976,173800,161600,163256,157680,163928,157408,417280,146456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194928,156488,168704,157968,167704,157560,165472,160264,185696,162864,174064,402760,152824,161208,173432,160880,168648,158304,158344,150728,160456,155256,162304,404592,135056,146384,160840,151072,156408,156432,157816,141504,229968,141472,155824,421448,116984,121008,99672,87088,98336,84992,62824,75856,71456,65472,56808,433968,48464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161064,108696,111496,96832,103696,90416,87608,116840,126744,94680,96152,409824,100496,105976,126744,109152,116440,139824,145696,147560,166520,139384,138736,413272,96656,127816,140472,131680,141568,124600,127728,125328,126072,132192,137216,411864,87440,107136,119456,118832,118408,111088,117800,112448,132072,102952,110664,420624,64440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
